epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,85.0141,0.8977,2.92647,1.19816,0.00333,1,0.54652,0.48633,0.5084,3.29446,0.88302,0.00021435,0.00021435,0.00021435
2,174.557,0.72819,1.84138,1.02183,0.00352,1,0.92049,0.81547,0.53102,3.14662,0.87228,0.000434219,0.000434219,0.000434219
3,254.984,0.69386,1.4661,0.97726,0.96078,0.56142,0.98574,0.86375,0.5534,2.9437,0.90604,0.000645033,0.000645033,0.000645033
4,334.928,0.77702,1.51599,1.01112,0.92739,0.96189,0.9857,0.83047,0.63134,2.21618,0.94609,0.000846794,0.000846794,0.000846794
5,417.742,0.70633,1.34031,0.98182,0.6961,0.96703,0.91199,0.66831,0.78917,3.70048,1.03252,0.0010395,0.0010395,0.0010395
6,500.462,0.6814,1.25703,0.9519,0.60921,0.86907,0.93338,0.73252,0.74738,3.7971,0.99551,0.00122315,0.00122315,0.00122315
7,587.034,0.66868,1.10666,0.95985,0.90672,1,0.945,0.68588,0.97421,1.87498,1.29773,0.00125923,0.00125923,0.00125923
8,669.966,0.72272,1.19491,0.97619,0.89864,0.96853,0.98763,0.79444,0.79413,1.62634,1.0564,0.00123094,0.00123094,0.00123094
9,752.927,0.72909,1.10911,0.98334,0.66142,0.85296,0.90075,0.75721,0.68158,2.07383,0.95335,0.00120265,0.00120265,0.00120265
10,837.907,0.68619,1.01152,0.95773,0.80249,0.98092,0.995,0.84564,0.65511,1.44197,0.95494,0.00117435,0.00117435,0.00117435
11,924.119,0.67527,0.94191,0.94785,0.99229,1,0.995,0.859,0.61231,1.06014,0.89273,0.00114606,0.00114606,0.00114606
12,1009.82,0.64966,0.87952,0.94745,0.82124,0.928,0.98767,0.8755,0.56867,1.20028,0.90041,0.00111776,0.00111776,0.00111776
13,1097.44,0.65686,0.88582,0.94963,0.95912,0.98337,0.984,0.88066,0.57413,0.95157,0.88,0.00108947,0.00108947,0.00108947
14,1180.17,0.66027,0.83677,0.93878,0.97482,1,0.995,0.88452,0.54598,0.87945,0.87038,0.00106118,0.00106118,0.00106118
15,1262.81,0.6539,0.76943,0.94353,0.99089,1,0.995,0.88871,0.53751,0.84214,0.8659,0.00103288,0.00103288,0.00103288
16,1345.94,0.62898,0.74693,0.94279,0.9815,0.97576,0.995,0.87803,0.55818,0.82025,0.86913,0.00100459,0.00100459,0.00100459
17,1430.47,0.65155,0.74961,0.94024,0.98914,1,0.995,0.87714,0.60909,0.7458,0.89568,0.000976293,0.000976293,0.000976293
18,1513.87,0.62349,0.69134,0.92337,0.99236,1,0.995,0.88242,0.54215,0.62044,0.86657,0.000947999,0.000947999,0.000947999
19,1596.55,0.64054,0.6971,0.934,0.9546,0.99001,0.995,0.87989,0.57455,0.67678,0.88965,0.000919704,0.000919704,0.000919704
20,1679.07,0.62677,0.68602,0.92842,0.98597,1,0.995,0.88268,0.55385,0.6934,0.87899,0.00089141,0.00089141,0.00089141
