时间,风机名,风速(m/s),功率(kW),发电机转速（rpm）,叶片角度(°),发电量（kWh）,备注
2015/4/1 0:00,A01,6.29,327,1403.7,0.02,8980390,
2015/4/1 0:10,A01,6.29,327,1403.7,0.02,8980390,此时间点无数据
2015/4/1 0:20,A01,5.59,252.6,1287.2,0.02,8980489,
2015/4/1 0:30,A01,5.2,211.2,1215.6,0.02,8980526,
2015/4/1 0:40,A01,5.14,211.2,1215.3,0.02,8980560,
2015/4/1 0:50,A01,5.54,159,1107.6,0.02,8980587,
2015/4/1 1:00,A01,5.82,184.2,1162.7,0.02,8980616,
2015/4/1 1:10,A01,5.28,159.6,1107.8,0.02,8980641,
2015/4/1 1:20,A01,5.45,173.4,1138.9,0.02,8980674,
2015/4/1 1:30,A01,5.42,170.4,1133.6,0.02,8980705,
2015/4/1 1:40,A01,5.62,174,1143.3,0.02,8980734,
2015/4/1 1:50,A01,5.73,223.8,1238.5,0.02,8980767,
2015/4/1 2:00,A01,6.21,286.2,1346.6,0.02,8980814,
2015/4/1 2:10,A01,6.21,286.2,1346.6,0.02,8980814,此时间点无数据
2015/4/1 2:20,A01,6.04,297,1359.9,0.02,8980902,
2015/4/1 2:30,A01,6.99,317.4,1388.7,0.02,8980954,
2015/4/1 2:40,A01,6.23,315,1386.5,0.02,8981010,
2015/4/1 2:50,A01,6.29,313.2,1385,0.02,8981064,
2015/4/1 3:00,A01,6.82,266.4,1313,0.02,8981111,
2015/4/1 3:10,A01,6.65,289.2,1347.7,0.02,8981156,
2015/4/1 3:20,A01,6.4,285.6,1342.3,0.02,8981202,
2015/4/1 3:30,A01,6.26,288.6,1348.4,0.02,8981249,
2015/4/1 3:40,A01,6.51,321.6,1396.2,0.02,8981300,
2015/4/1 3:50,A01,7.6,481.8,1596.1,0.02,8981367,
2015/4/1 4:00,A01,5.62,352.8,1440.9,0.02,8981439,
2015/4/1 4:10,A01,5.79,311.4,1383.5,0.02,8981496,
2015/4/1 4:20,A01,6.82,361.2,1449.8,0.02,8981548,
2015/4/1 4:30,A01,6.32,309.6,1379.2,0.02,8981604,
2015/4/1 4:40,A01,6.04,224.4,1241.8,0.02,8981650,
2015/4/1 4:50,A01,6.18,301.2,1365.2,0.02,8981693,
2015/4/1 5:00,A01,6.04,273,1324,0.02,8981741,
2015/4/1 5:10,A01,6.01,264.6,1309.8,0.02,8981785,
2015/4/1 5:20,A01,6.07,226.2,1240.9,0.02,8981824,
2015/4/1 5:30,A01,5.9,204.6,1205.6,0.02,8981851,
2015/4/1 5:40,A01,6.26,222,1236.9,0.02,8981888,
2015/4/1 5:50,A01,5.09,175.8,1144.6,0.02,8981923,
2015/4/1 6:00,A01,4.64,127.2,1051,0.02,8981947,
2015/4/1 6:10,A01,4.61,93.60001,1053.2,0.02,8981966,
2015/4/1 6:20,A01,3.55,60,1049.9,0.02,8981980,
2015/4/1 6:30,A01,3.11,44.4,1050.8,0.02,8981990,
2015/4/1 6:40,A01,2.6,3.6,1049.9,0.02,8981994,
2015/4/1 6:50,A01,2.38,0,0,88.97,8981995,
2015/4/1 7:00,A01,2.55,0,0,88.97,8981995,
2015/4/1 7:10,A01,1.01,0,0,88.97,8981995,
2015/4/1 7:20,A01,1.04,0,-2.2,88.97,8981995,
2015/4/1 7:30,A01,1.71,0,0,88.97,8981995,
2015/4/1 7:40,A01,2.07,0,0,88.97,8981995,
2015/4/1 7:50,A01,2.94,0,0,88.97,8981995,
2015/4/1 8:00,A01,2.94,0,0,88.97,8981995,此时间点无数据
2015/4/1 8:10,A01,2.94,0,10.3,88.97,8981995,
2015/4/1 8:20,A01,2.57,0,0,88.97,8981995,
2015/4/1 8:30,A01,2.46,0,2,88.97,8981995,
2015/4/1 8:40,A01,2.57,0,-1.6,88.97,8981995,
2015/4/1 8:50,A01,2.57,0,-1.6,88.97,8981995,此时间点无数据
2015/4/1 9:00,A01,2.35,0,7.9,88.97,8981995,
2015/4/1 9:10,A01,2.24,0,0.9,88.97,8981995,
2015/4/1 9:20,A01,3.38,0,-9.5,88.97,8981995,
2015/4/1 9:30,A01,1.26,0,0,88.97,8981995,
2015/4/1 9:40,A01,2.85,0,13.2,88.97,8981995,
2015/4/1 9:50,A01,1.62,0,1.8,88.97,8981995,
2015/4/1 10:00,A01,2.94,0,-1.8,88.97,8981995,
2015/4/1 10:10,A01,3.47,0,0.2,88.97,8981995,
2015/4/1 10:20,A01,1.99,0,-2.9,88.97,8981995,
2015/4/1 10:30,A01,3.3,0,-5.3,88.97,8981995,
2015/4/1 10:40,A01,3.02,0,-1.8,88.97,8981995,
2015/4/1 10:50,A01,1.07,0,37,88.97,8981995,
2015/4/1 11:00,A01,3.83,0,14.8,88.97,8981995,
2015/4/1 11:10,A01,3.83,0,14.8,88.97,8981995,此时间点无数据
2015/4/1 11:20,A01,3.36,0,-2.4,88.97,8981995,
