epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.4032,0.90387,1.89,0.01391,0.90234,0.65328,0.90173,0.66716,1.57982,0.96754,0.01152,0,0,0
2,6.59112,0.85104,2.10394,0.01449,0.88881,0.65712,0.90499,0.66881,1.52922,1.04945,0.01115,1.07219e-06,1.07219e-06,1.07219e-06
3,9.73998,0.81926,1.69113,0.01138,0.90318,0.63922,0.90655,0.66726,1.52159,1.06881,0.01104,1.90876e-06,1.90876e-06,1.90876e-06
4,12.7082,0.98892,2.16217,0.01767,0.84339,0.68442,0.90506,0.66797,1.51849,1.05625,0.01096,2.50971e-06,2.50971e-06,2.50971e-06
5,15.5328,1.00059,1.37605,0.01065,0.87927,0.66629,0.89905,0.66802,1.53032,1.02676,0.01095,2.87504e-06,2.87504e-06,2.87504e-06
6,18.3389,1.05838,1.51904,0.01316,0.88485,0.67081,0.90307,0.68349,1.52485,1.0299,0.01084,3.00475e-06,3.00475e-06,3.00475e-06
7,21.1886,1.00735,2.27014,0.01643,0.89102,0.67266,0.90304,0.68487,1.51872,1.03358,0.0107,2.89884e-06,2.89884e-06,2.89884e-06
8,24.0166,0.90851,1.32855,0.01447,0.89917,0.67412,0.89894,0.68489,1.51304,1.03665,0.01062,2.55731e-06,2.55731e-06,2.55731e-06
9,26.8323,1.01923,3.14844,0.01726,0.90084,0.67552,0.89466,0.68338,1.49801,1.0422,0.01044,1.98016e-06,1.98016e-06,1.98016e-06
10,29.6458,1.15864,2.38448,0.0165,0.90524,0.67688,0.89668,0.68454,1.48451,1.05695,0.01016,1.16739e-06,1.16739e-06,1.16739e-06
