epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.06922,0.96332,2.29145,0.01334,0.89665,0.65566,0.90416,0.66896,1.58082,0.9661,0.01154,0,0,0
2,6.42253,1.16864,2.44315,0.01394,0.89649,0.65805,0.90242,0.66861,1.57935,0.96655,0.01151,1.14288e-06,1.14288e-06,1.14288e-06
3,10.2553,0.98389,2.76453,0.02108,0.87761,0.66787,0.90236,0.66648,1.57679,0.96904,0.01147,2.1915e-06,2.1915e-06,2.1915e-06
4,13.5727,1.41477,2.2293,0.02986,0.87556,0.67612,0.90595,0.66777,1.57711,0.9682,0.01143,3.14588e-06,3.14588e-06,3.14588e-06
5,16.7237,1.34511,2.99468,0.02154,0.88189,0.67695,0.90599,0.66913,1.52085,1.05259,0.01101,4.00602e-06,4.00602e-06,4.00602e-06
6,19.7999,1.10456,2.02003,0.01421,0.85414,0.67145,0.90239,0.66871,1.51313,1.08611,0.01091,4.7719e-06,4.7719e-06,4.7719e-06
7,22.8216,1.28227,2.81265,0.01224,0.86214,0.67731,0.90237,0.66231,1.55748,1.05333,0.01137,5.44354e-06,5.44354e-06,5.44354e-06
8,26.0157,1.00794,2.22596,0.0101,0.86609,0.67795,0.90237,0.66558,1.55785,1.05622,0.01132,6.02092e-06,6.02092e-06,6.02092e-06
9,29.4662,1.1921,3.27657,0.01698,0.85377,0.68179,0.89934,0.68175,1.55337,1.05797,0.01127,6.50406e-06,6.50406e-06,6.50406e-06
10,32.9223,1.09149,2.37889,0.01035,0.84471,0.6854,0.89933,0.67945,1.5495,1.06201,0.01121,6.89296e-06,6.89296e-06,6.89296e-06
11,36.6746,1.18084,2.78349,0.01465,0.96701,0.6198,0.89913,0.67661,1.55539,1.09465,0.01128,7.1876e-06,7.1876e-06,7.1876e-06
12,40.6456,0.94923,2.17893,0.01079,0.83627,0.68655,0.89686,0.67647,1.54757,1.07072,0.01114,7.388e-06,7.388e-06,7.388e-06
13,44.3168,1.00636,2.0849,0.01518,0.8377,0.68653,0.89501,0.67326,1.54372,1.0796,0.01109,7.49414e-06,7.49414e-06,7.49414e-06
14,47.5443,1.21565,2.27179,0.01535,0.97259,0.61855,0.89354,0.67246,1.52998,1.10181,0.0109,7.50604e-06,7.50604e-06,7.50604e-06
15,51.3612,1.06326,1.91474,0.01316,0.83431,0.68451,0.8871,0.66599,1.52838,1.09321,0.01086,7.4237e-06,7.4237e-06,7.4237e-06
16,54.8162,1.19318,1.89812,0.0143,0.8422,0.68586,0.88675,0.65713,1.51943,1.08556,0.0106,7.2471e-06,7.2471e-06,7.2471e-06
17,57.9866,0.83239,1.76661,0.01398,0.84969,0.68591,0.88817,0.6745,1.51577,1.09604,0.01046,6.97626e-06,6.97626e-06,6.97626e-06
18,60.8544,0.93491,1.57157,0.01469,0.84969,0.68591,0.88817,0.6745,1.51577,1.09604,0.01046,6.61116e-06,6.61116e-06,6.61116e-06
19,63.8647,1.0215,1.21136,0.01028,0.83954,0.68445,0.88665,0.67493,1.51255,1.10311,0.0103,6.15182e-06,6.15182e-06,6.15182e-06
20,66.6944,1.24788,2.09968,0.02022,0.83954,0.68445,0.88665,0.67493,1.51255,1.10311,0.0103,5.59824e-06,5.59824e-06,5.59824e-06
21,70.7062,0.96136,1.90136,0.01607,0.84031,0.68333,0.88348,0.67418,1.50965,1.11803,0.01018,4.9504e-06,4.9504e-06,4.9504e-06
22,73.6857,0.98351,1.86254,0.01647,0.84031,0.68333,0.88348,0.67418,1.50965,1.11803,0.01018,4.20832e-06,4.20832e-06,4.20832e-06
23,76.6756,0.76407,1.60216,0.01156,0.83729,0.67757,0.88264,0.70645,1.50586,1.12827,0.00994,3.37198e-06,3.37198e-06,3.37198e-06
24,79.5934,1.05767,1.82726,0.01843,0.83729,0.67757,0.88264,0.70645,1.50586,1.12827,0.00994,2.4414e-06,2.4414e-06,2.4414e-06
25,82.6569,1.02539,1.78095,0.02107,0.95143,0.62631,0.88214,0.707,1.51276,1.1483,0.00996,1.41658e-06,1.41658e-06,1.41658e-06
