epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,4.63251,0.98568,1.95177,1.71066,0.01715,0.33635,0.79456,0.67235,0.8753,0.6369,0.75752,0.65735,0.84102,0.55644,1.64887,2.85584,1.23074,0.01149,0,0,0,0
2,9.11191,0.92347,2.24976,2.15322,0.01412,0.3988,0.79592,0.67181,0.87526,0.63737,0.75818,0.65692,0.84101,0.55499,1.64576,2.8595,1.24637,0.01143,0,1.07219e-06,1.07219e-06,1.07219e-06
3,13.391,0.82033,2.02749,1.46882,0.0115,0.34254,0.80004,0.67153,0.87639,0.63784,0.761,0.65706,0.84177,0.55541,1.63519,2.86006,1.24917,0.01124,0,1.90876e-06,1.90876e-06,1.90876e-06
4,17.6863,1.10613,2.38893,1.60724,0.02329,0.43792,0.77414,0.67116,0.8755,0.63729,0.7353,0.65664,0.84044,0.55468,1.62764,2.85568,1.27424,0.01117,0,2.50971e-06,2.50971e-06,2.50971e-06
5,21.9061,1.11888,2.19185,1.51305,0.01119,0.30023,0.8141,0.66955,0.87536,0.63726,0.8141,0.66955,0.86895,0.57411,1.62138,2.84938,1.24918,0.01114,0,2.87504e-06,2.87504e-06,2.87504e-06
6,26.1356,0.79152,2.05548,1.69153,0.00876,0.21519,0.8187,0.66945,0.87563,0.63735,0.8187,0.66945,0.86897,0.5742,1.61829,2.84889,1.25256,0.01108,0,3.00475e-06,3.00475e-06,3.00475e-06
7,30.8445,1.02831,2.0835,2.02685,0.01671,0.338,0.83201,0.65802,0.79123,0.59438,0.83201,0.65802,0.78597,0.50709,1.61457,2.85137,1.26404,0.01103,0,2.89884e-06,2.89884e-06,2.89884e-06
8,35.1077,0.89971,1.99445,1.89419,0.01375,0.35983,0.77776,0.66084,0.79324,0.58621,0.77776,0.66084,0.78601,0.50707,1.61186,2.84871,1.27975,0.01099,0,2.55731e-06,2.55731e-06,2.55731e-06
9,39.8143,1.13047,2.22104,2.40415,0.01803,0.3687,0.86738,0.61994,0.79105,0.5854,0.7895,0.60327,0.75632,0.49522,1.60779,2.86731,1.2917,0.01098,0,1.98016e-06,1.98016e-06,1.98016e-06
10,44.2357,1.19665,2.02496,1.60664,0.01586,0.26888,0.9034,0.61642,0.79158,0.59391,0.82128,0.6,0.75499,0.4796,1.60125,2.86461,1.29495,0.01093,0,1.16739e-06,1.16739e-06,1.16739e-06
