epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,4.92038,1.04751,2.63041,2.55076,0.01402,0.52378,0.7905,0.67251,0.8755,0.63804,0.75365,0.65748,0.84399,0.57408,1.64926,2.84749,1.22259,0.0115,0,0,0,0
2,10.8675,0.91878,2.63133,2.49132,0.01105,0.54782,0.8751,0.62566,0.87606,0.64539,0.74941,0.6554,0.84359,0.55511,1.63983,2.84042,1.22691,0.01133,0,1.15073e-06,1.15073e-06,1.15073e-06
3,16.2766,0.97631,2.37405,2.41124,0.01454,0.43661,0.88296,0.62767,0.87739,0.65424,0.76184,0.65685,0.84351,0.55521,1.6335,2.84287,1.23313,0.01122,0,2.22292e-06,2.22292e-06,2.22292e-06
4,20.8767,1.2724,3.31484,2.8464,0.02317,0.58127,0.87907,0.62926,0.87896,0.6547,0.76319,0.6548,0.84408,0.55558,1.63311,2.83803,1.23958,0.0111,0,3.21657e-06,3.21657e-06,3.21657e-06
5,25.7755,1.11127,2.96594,3.21323,0.01506,0.67091,0.86925,0.63209,0.79665,0.58011,0.77328,0.65155,0.76084,0.49714,1.62954,2.83373,1.24246,0.01097,0,4.13168e-06,4.13168e-06,4.13168e-06
6,30.461,0.95229,2.51671,2.16528,0.01128,0.51318,0.81914,0.66709,0.79734,0.58046,0.77783,0.65226,0.76112,0.4972,1.62805,2.83235,1.24809,0.01091,0,4.96825e-06,4.96825e-06,4.96825e-06
7,36.0174,1.19023,2.20072,2.60482,0.01141,0.418,0.81191,0.64984,0.79823,0.59728,0.77011,0.63317,0.76367,0.49764,1.62128,2.82596,1.25728,0.01084,0,5.72628e-06,5.72628e-06,5.72628e-06
8,40.904,1.09528,2.25758,2.50742,0.01008,0.41251,0.80622,0.66721,0.79779,0.59218,0.77307,0.65054,0.76362,0.49745,1.61932,2.81977,1.27248,0.01076,0,6.40577e-06,6.40577e-06,6.40577e-06
9,45.6064,1.17943,2.66213,3.32694,0.0156,0.67028,0.82953,0.65099,0.79886,0.59395,0.78464,0.64233,0.7636,0.4949,1.62735,2.81263,1.25719,0.01082,0,7.00672e-06,7.00672e-06,7.00672e-06
10,50.1841,1.07242,2.8645,2.84019,0.01033,0.45516,0.9102,0.62403,0.77161,0.5779,0.83914,0.60736,0.73637,0.47634,1.6232,2.80922,1.25642,0.01076,0,7.52913e-06,7.52913e-06,7.52913e-06
11,55,1.14602,2.96278,3.22053,0.01154,0.46455,0.90794,0.62596,0.7196,0.53887,0.8401,0.60929,0.68148,0.43765,1.62328,2.80413,1.2624,0.01072,0,7.973e-06,7.973e-06,7.973e-06
