epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,72.394,0.81105,5.57527,10.6783,0.02468,4.86553,0.00314,1,0.0297,0.01752,0.00314,1,0.02899,0.01422,0.77172,2.51307,7.8814,0.02896,0,0.00012,0.00012,0.00012
2,139.186,0.53217,1.88918,9.88442,0.01495,2.91291,0.00314,1,0.41841,0.23253,0.00314,1,0.41841,0.3151,0.73715,0.97253,7.806,0.02704,0,0.00023426,0.00023426,0.00023426
3,198.021,0.48247,0.64569,9.27138,0.01408,1.14467,0.00314,1,0.87474,0.48314,0.00314,1,0.87474,0.73092,0.54191,1.90269,7.60762,0.01959,0,0.0003208,0.0003208,0.0003208
4,256.229,0.58974,0.48446,8.82984,0.01791,0.58865,0.00314,1,0.8473,0.63371,0.00314,1,0.8473,0.74804,0.40832,0.60044,7.46813,0.0147,0,0.00037962,0.00037962,0.00037962
5,314.574,0.56041,0.42313,8.2462,0.01653,0.43561,0.00314,1,0.81446,0.59364,0.00314,1,0.81446,0.7434,0.43126,0.47723,7.45186,0.01553,0,0.00041072,0.00041072,0.00041072
6,376.31,0.55517,0.36962,7.80994,0.01599,0.33757,0.00314,1,0.89547,0.78867,0.00314,1,0.89547,0.85815,0.29346,0.3586,7.25012,0.01048,0,0.0004141,0.0004141,0.0004141
7,437.739,0.52478,0.33754,7.41975,0.01613,0.29512,0.00314,1,0.97271,0.77174,0.00314,1,0.97271,0.92844,0.35593,0.3406,7.23397,0.01256,0,0.00038976,0.00038976,0.00038976
8,497.43,0.76021,0.32126,7.34629,0.02428,0.27177,0.00314,1,0.97646,0.78674,0.00314,1,0.97646,0.93451,0.33501,0.34046,7.12532,0.01189,0,0.0003377,0.0003377,0.0003377
9,557.054,0.61017,0.32615,6.98576,0.02104,0.24718,0.00314,1,0.98029,0.86247,0.00314,1,0.98029,0.9254,0.41861,0.34585,6.91677,0.0148,0,0.00025792,0.00025792,0.00025792
10,616.042,0.66978,0.32923,6.89274,0.02235,0.2337,0.00314,1,0.97646,0.85219,0.00314,1,0.97646,0.92297,0.50069,0.32954,6.8273,0.01795,0,0.00015042,0.00015042,0.00015042
